2.50E+00,0.00E+00
2.55E+00,0.00E+00
2.60E+00,5.00E+00
2.65E+00,4.00E+00
2.70E+00,4.00E+00
2.75E+00,3.00E+00
2.80E+00,4.00E+00
2.85E+00,1.00E+00
2.91E+00,8.00E+00
2.96E+00,5.00E+00
3.01E+00,6.00E+00
3.06E+00,2.00E+00
3.11E+00,3.00E+00
3.16E+00,2.00E+00
3.21E+00,2.00E+00
3.26E+00,5.00E+00
3.31E+00,5.00E+00
3.36E+00,5.00E+00
3.41E+00,5.00E+00
3.46E+00,1.00E+01
3.51E+00,4.00E+00
3.56E+00,7.00E+00
3.62E+00,8.00E+00
3.67E+00,1.70E+01
3.72E+00,1.50E+01
3.77E+00,2.10E+01
3.82E+00,1.90E+01
3.87E+00,1.50E+01
3.92E+00,2.00E+01
3.97E+00,2.80E+01
4.02E+00,2.60E+01
4.07E+00,4.30E+01
4.12E+00,4.40E+01
4.17E+00,4.90E+01
4.22E+00,3.20E+01
4.27E+00,4.30E+01
4.32E+00,3.30E+01
4.38E+00,4.20E+01
4.43E+00,3.50E+01
4.48E+00,4.50E+01
4.53E+00,2.70E+01
4.58E+00,4.40E+01
4.63E+00,6.90E+01
4.68E+00,7.90E+01
4.73E+00,1.17E+02
4.78E+00,1.27E+02
4.83E+00,1.18E+02
4.88E+00,1.37E+02
4.93E+00,1.41E+02
4.98E+00,1.28E+02
5.03E+00,1.10E+02
5.09E+00,7.80E+01
5.14E+00,6.90E+01
5.19E+00,5.30E+01
5.24E+00,4.40E+01
5.29E+00,4.90E+01
5.34E+00,6.10E+01
5.39E+00,9.60E+01
5.44E+00,1.29E+02
5.49E+00,1.89E+02
5.54E+00,2.21E+02
5.59E+00,2.55E+02
5.64E+00,2.67E+02
5.69E+00,2.65E+02
5.74E+00,2.46E+02
5.79E+00,1.66E+02
5.85E+00,1.55E+02
5.90E+00,1.09E+02
5.95E+00,9.00E+01
6.00E+00,3.60E+01
6.05E+00,3.40E+01
6.10E+00,3.70E+01
6.15E+00,6.70E+01
6.20E+00,1.60E+02
6.25E+00,2.08E+02
6.30E+00,2.36E+02
6.35E+00,2.95E+02
6.40E+00,2.92E+02
6.45E+00,2.92E+02
6.50E+00,2.60E+02
6.56E+00,2.54E+02
6.61E+00,2.00E+02
6.66E+00,1.41E+02
6.71E+00,8.10E+01
6.76E+00,5.00E+01
6.81E+00,2.40E+01
6.86E+00,2.70E+01
6.91E+00,3.30E+01
6.96E+00,7.60E+01
7.01E+00,1.21E+02
7.06E+00,1.81E+02
7.11E+00,2.06E+02
7.16E+00,2.27E+02
7.21E+00,2.57E+02
7.26E+00,2.14E+02
7.32E+00,1.94E+02
7.37E+00,1.54E+02
7.42E+00,1.28E+02
7.47E+00,7.60E+01
7.52E+00,4.90E+01
7.57E+00,2.40E+01
7.62E+00,1.10E+01
7.67E+00,1.20E+01
7.72E+00,1.90E+01
7.77E+00,5.50E+01
7.82E+00,5.70E+01
7.87E+00,1.05E+02
7.92E+00,8.90E+01
7.97E+00,1.26E+02
8.03E+00,1.05E+02
8.08E+00,1.00E+02
8.13E+00,7.50E+01
8.18E+00,6.30E+01
8.23E+00,5.00E+01
8.28E+00,3.60E+01
8.33E+00,2.40E+01
8.38E+00,8.00E+00
8.43E+00,9.00E+00
8.48E+00,6.00E+00
8.53E+00,8.00E+00
8.58E+00,2.90E+01
8.63E+00,2.50E+01
8.68E+00,2.70E+01
8.73E+00,3.50E+01
8.79E+00,2.70E+01
8.84E+00,3.10E+01
8.89E+00,2.80E+01
8.94E+00,1.70E+01
8.99E+00,1.50E+01
9.04E+00,1.60E+01
9.09E+00,1.20E+01
9.14E+00,1.20E+01
9.19E+00,3.00E+00
9.24E+00,8.00E+00
9.29E+00,5.00E+00
9.34E+00,1.00E+01
9.39E+00,5.00E+00
9.44E+00,6.00E+00
9.50E+00,5.00E+00
9.55E+00,8.00E+00
9.60E+00,4.00E+00
9.65E+00,6.00E+00
9.70E+00,1.10E+01
9.75E+00,5.00E+00
9.80E+00,1.30E+01
9.85E+00,1.30E+01
