3.05,6
3.1,7
3.15,2
3.2,5
3.25,4
3.3,7
3.35,9
3.4,6
3.45,15
3.5,12
3.55,15
3.6,22
3.65,13
3.7,19
3.75,37
3.8,34
3.85,39
3.9,35
3.95,37
4,45
4.05,41
4.1,40
4.15,31
4.2,36
4.25,27
4.3,29
4.35,41
4.4,64
4.45,68
4.5,92
4.55,126
4.6,149
4.65,152
4.7,171
4.75,165
4.8,126
4.85,105
4.9,94
4.95,74
5,46
5.05,56
5.1,73
5.15,52
5.2,110
5.25,151
5.3,186
5.35,196
5.4,258
5.45,255
5.5,303
5.55,253
5.6,217
5.65,165
5.7,116
5.75,72
5.8,53
5.85,38
5.9,60
5.95,84
6,123
6.05,163
6.1,242
6.15,303
6.2,341
6.25,325
6.3,268
6.35,225
6.4,224
6.45,157
6.5,85
6.55,48
6.6,27
6.65,24
6.7,42
6.75,91
6.8,113
6.85,169
6.9,190
6.95,241
7,210
7.05,208
7.1,214
7.15,167
7.2,158
7.25,78
7.3,48
7.35,22
7.4,22
7.45,28
7.5,29
7.55,48
7.6,68
7.65,83
7.7,119
7.75,124
7.8,120
7.85,92
7.9,88
7.95,71
8,44
8.05,35
8.1,20
8.15,22
8.2,8
8.25,13
8.3,13
8.35,22
8.4,21
8.45,27
8.5,37
8.55,23
8.6,22
8.65,22
8.7,22
8.75,18
8.8,12
8.85,9
8.9,6
8.95,8
9,4
