2.500,2.000
2.600,2.000
2.700,4.000
2.800,5.000
2.900,1.000
3.000,1.000
3.100,2.000
3.200,1.000
3.300,3.000
3.400,1.000
3.500,1.000
3.600,4.000
3.700,4.000
3.800,3.000
3.900,1.000
4.000,2.000
4.100,3.000
4.200,6.000
4.300,11.000
4.400,9.000
4.500,11.000
4.600,12.000
4.700,21.000
4.800,16.000
4.900,17.000
5.000,18.000
5.100,17.000
5.200,24.000
5.300,27.000
5.400,30.000
5.500,40.000
5.600,39.000
5.700,33.000
5.800,43.000
5.900,42.000
6.000,52.000
6.100,54.000
6.200,49.000
6.300,48.000
6.400,58.000
6.500,54.000
6.600,57.000
6.700,60.000
6.800,61.000
6.900,55.000
7.000,50.000
7.100,51.000
7.200,42.000
7.300,69.000
7.400,48.000
7.500,54.000
7.600,40.000
7.700,39.000
7.800,42.000
7.900,35.000
8.000,24.000
8.100,38.000
8.200,17.000
8.300,18.000
8.400,18.000
8.500,13.000
8.600,10.000
8.700,11.000
8.800,5.000
8.900,10.000
9.000,4.000
9.100,3.000
9.200,3.000
9.300,3.000
9.400,2.000
9.500,3.000
9.600,9.000
9.700,8.000
9.800,6.000
9.900,8.000
